Date,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net,Source,Status
2024-12-17,17951.19,20337.93,-2386.74,11996.54,9290.06,2706.48,Master 2006-2026,provisional
2024-12-18,14388.45,15310.79,-922.34,14068.09,9984.01,4084.08,Master 2006-2026,provisional
2024-12-19,15536.61,16329.8,-793.19,14699.53,10756.29,3943.24,Master 2006-2026,provisional
2024-12-20,32683.31,34556.26,-1872.95,20119.41,18745.04,1374.37,Master 2006-2026,provisional
2024-12-23,9113.12,8957.72,155.4,11083.76,8856.08,2227.68,Master 2006-2026,provisional
2024-12-24,5816.77,7620.87,-1804.1,10514.3,7695.05,2819.25,Master 2006-2026,provisional
2024-12-26,6527.01,8119.21,-1592.2,11592.43,8256.27,3336.16,Master 2006-2026,provisional
2024-12-27,7656.27,7286.1,370.17,9436.86,6892.22,2544.64,Master 2006-2026,provisional
2024-12-30,16199.92,17798.7,-1598.78,41786.62,39612.76,2173.86,Master 2006-2026,provisional
2024-12-31,5279.9,10630.95,-5351.05,13550.29,9003.56,4546.73,Master 2006-2026,provisional
2025-01-01,2398.74,2996.2,-597.46,8536.97,6846.6,1690.37,Master 2006-2026,provisional
2025-01-02,14050.99,12387.39,1663.6,14176.58,14154.44,22.14,Master 2006-2026,provisional
2025-01-03,12395.04,15269.89,-2874.85,14332.69,13512.09,820.6,Master 2006-2026,provisional
2025-01-06,10263.57,13318.73,-3055.16,16412.95,10663.3,5749.65,Master 2006-2026,provisional
2025-01-07,12254.06,13474.22,-1220.16,12256.43,10641.15,1615.28,Master 2006-2026,provisional
2025-01-08,10009.08,13738.38,-3729.3,14251.5,11535.22,2716.28,Master 2006-2026,provisional
2025-01-09,9085.34,16114.72,-7029.38,16727.63,9088.0,7639.63,Master 2006-2026,provisional
2025-01-10,11362.85,12784.25,-1421.4,14293.73,10331.81,3961.92,Master 2006-2026,provisional
2025-01-13,12074.49,16350.95,-4276.46,20133.51,12067.44,8066.07,Master 2006-2026,provisional
2025-01-14,14710.27,22476.7,-7766.43,17836.5,9935.44,7901.06,Master 2006-2026,provisional
2025-01-15,11486.22,15883.15,-4396.93,14429.64,10747.1,3682.54,Master 2006-2026,provisional
2025-01-16,11550.55,15891.79,-4341.24,14830.61,11901.89,2928.72,Master 2006-2026,provisional
2025-01-17,10379.64,14006.75,-3627.11,12496.54,9923.66,2572.88,Master 2006-2026,provisional
2025-01-20,10401.1,14125.89,-3724.79,15339.21,11017.25,4321.96,Master 2006-2026,provisional
2025-01-21,10393.34,16721.24,-6327.9,14355.52,10855.2,3500.32,Master 2006-2026,provisional
2025-01-22,14399.56,17417.61,-3018.05,15437.18,11796.96,3640.22,Master 2006-2026,provisional
2025-01-23,15799.84,18861.32,-3061.48,14412.73,10700.18,3712.55,Master 2006-2026,provisional
2025-01-24,11537.19,14403.49,-2866.3,12835.41,10433.1,2402.31,Master 2006-2026,provisional
